"business_area_name","region_name","barr_date","revenue"
"A00 - Equipment","China","2020-12-01",933396.746141
"B00 - Services","Eurasia","2020-12-01",2348206.5821999996
"F00 - GCCT","North America","2020-12-01",372617.885971
"B00 - Services","Latin America","2020-12-01",1171262.2265409997
"Consolidated","Global","2020-12-01",28527983.36
"B00 - Services","North America","2020-12-01",606018.20468
"F00 - GCCT","Latin America","2020-12-01",849743.5826659999
"F00 - GCCT","APAC","2020-12-01",1835614.2999959998
"F00 - GCCT","EMEA","2020-12-01",663216.5175
"A00 - Equipment","North America","2020-12-01",2358836.831375
"Consolidated","Global","2020-11-01",24892506.48
"A00 - Equipment","Eurasia","2020-11-01",365373.2953
"X00 - Other","North America","2020-11-01",-399.78
"B00 - Services","North America","2020-11-01",730700.8864570002
"B00 - Services","Eurasia","2020-11-01",2124548.8678
"X00 - Other","Latin America","2020-11-01",1381.85
"A00 - Equipment","APAC","2020-11-01",1394922.7654030002
"F00 - GCCT","Eurasia","2020-11-01",110434.8506
"B00 - Services","India","2020-11-01",2444042.9794969996
"F00 - GCCT","EMEA","2020-11-01",864473.4277
"F00 - GCCT","Latin America","2020-11-01",1049287.138348
"F00 - GCCT","North America","2020-11-01",407361.20254699996
"B00 - Services","EMEA","2020-11-01",2141880.6171999997
"A00 - Equipment","North America","2020-11-01",952114.0576170001
"F00 - GCCT","India","2020-11-01",954211.291545
"A00 - Equipment","Latin America","2020-11-01",972996.511769
"A00 - Equipment","EMEA","2020-11-01",1331528.59
"A00 - Equipment","India","2020-11-01",1669130.699061
"A00 - Equipment","China","2020-11-01",1097182.128046
"B00 - Services","APAC","2020-11-01",3027634.484137
"X00 - Other","EMEA","2020-11-01",7097.66
"B00 - Services","Latin America","2020-11-01",1194028.106828
"B00 - Services","China","2020-11-01",181159.476333
"X00 - Other","APAC","2020-11-01",339.2000000000005
"F00 - GCCT","APAC","2020-11-01",1885263.9323109998
"A00 - Equipment","EMEA","2020-10-01",690574.69
"B00 - Services","Latin America","2020-10-01",1296059.21733
"F00 - GCCT","EMEA","2020-10-01",995295.7836
"A00 - Equipment","APAC","2020-10-01",2733072.937209
"B00 - Services","India","2020-10-01",2584428.199582
"F00 - GCCT","North America","2020-10-01",396318.101197
"X00 - Other","APAC","2020-10-01",-93.18999900000007
"F00 - GCCT","India","2020-10-01",814215.918757
"B00 - Services","APAC","2020-10-01",2685031.7699260004
"B00 - Services","China","2020-10-01",110307.211085
"F00 - GCCT","APAC","2020-10-01",2201412.535145
"B00 - Services","North America","2020-10-01",790387.628929
"F00 - GCCT","China","2020-10-01",18626.769327
"Consolidated","Global","2020-10-01",21857875.92
"A00 - Equipment","China","2020-10-01",278.32
"B00 - Services","Eurasia","2020-10-01",1967438.747
"B00 - Services","EMEA","2020-10-01",1679583.9301999998
"A00 - Equipment","North America","2020-10-01",-15921.962930000003
"X00 - Other","North America","2020-10-01",-398.40999999999997
"F00 - GCCT","Latin America","2020-10-01",866840.355986
"A00 - Equipment","Eurasia","2020-10-01",1220019.8771
"F00 - GCCT","Eurasia","2020-10-01",105926.9552
"A00 - Equipment","India","2020-10-01",371236.914342
"A00 - Equipment","Latin America","2020-10-01",346403.46
"X00 - Other","EMEA","2020-10-01",7434.37
"X00 - Other","Latin America","2020-10-01",1959.65
"A00 - Equipment","China","2020-09-01",86326.53
"B00 - Services","India","2020-09-01",2011062.645567
"B00 - Services","China","2020-09-01",235261.34089
"F00 - GCCT","EMEA","2020-09-01",1006962.9513000001
"A00 - Equipment","Eurasia","2020-09-01",4512225.9958999995
"A00 - Equipment","EMEA","2020-09-01",1492164.58
"A00 - Equipment","India","2020-09-01",-38490.488961
"F00 - GCCT","India","2020-09-01",736039.407669
"B00 - Services","EMEA","2020-09-01",1380142.0935999998
"B00 - Services","APAC","2020-09-01",2871949.5291029997
"A00 - Equipment","APAC","2020-09-01",2977275.3540820004
"B00 - Services","North America","2020-09-01",845784.120719
"Consolidated","Global","2020-09-01",25233184.74
"B00 - Services","Latin America","2020-09-01",928624.2316930001
"F00 - GCCT","Eurasia","2020-09-01",25666.0346
"X00 - Other","EMEA","2020-09-01",-27072.12
"X00 - Other","APAC","2020-09-01",2274.9299999999994
"A00 - Equipment","North America","2020-09-01",-12165.100000000031
"F00 - GCCT","North America","2020-09-01",401336.833565
"F00 - GCCT","APAC","2020-09-01",1800154.6806550003
"F00 - GCCT","Latin America","2020-09-01",730060.250647
"A00 - Equipment","Latin America","2020-09-01",964647.2784600001
"B00 - Services","Eurasia","2020-09-01",2278156.9930000002
"X00 - Other","North America","2020-09-01",122.14000000000003
"X00 - Other","Latin America","2020-09-01",-216.06
"B00 - Services","APAC","2020-08-01",3750612.294231
"A00 - Equipment","Latin America","2020-08-01",-2396.48
"F00 - GCCT","North America","2020-08-01",333136.983024
"F00 - GCCT","EMEA","2020-08-01",908314.2746000001
"B00 - Services","Eurasia","2020-08-01",2244819.296
"A00 - Equipment","Eurasia","2020-08-01",1700943.0031
"B00 - Services","China","2020-08-01",457225.294657
"F00 - GCCT","Latin America","2020-08-01",612882.659571
"A00 - Equipment","APAC","2020-08-01",2156482.355377
"A00 - Equipment","China","2020-08-01",146536.031925
"F00 - GCCT","Eurasia","2020-08-01",19727.228
"X00 - Other","APAC","2020-08-01",416.31
"X00 - Other","Latin America","2020-08-01",275.58
"X00 - Other","North America","2020-08-01",-115.49999999999999
"A00 - Equipment","North America","2020-08-01",13165.377740000029
"F00 - GCCT","India","2020-08-01",709306.016062
"F00 - GCCT","APAC","2020-08-01",1595446.6438189999
"B00 - Services","North America","2020-08-01",711918.2904350001
"Consolidated","Global","2020-08-01",21714382.07
"A00 - Equipment","India","2020-08-01",280547.414793
"B00 - Services","EMEA","2020-08-01",1142143.2835
"B00 - Services","India","2020-08-01",2176737.408009
"X00 - Other","EMEA","2020-08-01",8688.41
"A00 - Equipment","EMEA","2020-08-01",1748798.5117999997
"B00 - Services","Latin America","2020-08-01",1003725.2547200001
"F00 - GCCT","North America","2020-07-01",560193.663488
"A00 - Equipment","Latin America","2020-07-01",656878.769578
"F00 - GCCT","India","2020-07-01",714395.026967
"F00 - GCCT","Eurasia","2020-07-01",20753.2634
"F00 - GCCT","EMEA","2020-07-01",1272299.9975
