ts_month,copper_index,ironore_index,lead_index,molybdenum_index,nickel_index,uranium_index,zinc_index,gold_index,platinum_index,palladium_index,silver_index,commodity_index
9/1/2015 0:00,0.545984305,0.312163508,0.652051878,0.455115512,0.388523195,0.550303801,0.728677935,0.827001993,0.540311795,0.765048697,0.517884379,0.652912225
10/1/2015 0:00,0.545453476,0.293984062,0.665936367,0.448394839,0.403351874,0.548995144,0.734180492,0.850933664,0.547158047,0.86641248,0.552995455,0.664166503
11/1/2015 0:00,0.492180858,0.258544221,0.626537065,0.305280528,0.361421031,0.534532641,0.663217258,0.797318188,0.493142126,0.720120298,0.506774501,0.606497085
12/1/2015 0:00,0.479037959,0.223985072,0.662269185,0.28902999,0.340075761,0.522356353,0.649349415,0.785527955,0.482710734,0.693711024,0.49460709,0.591588417
1/1/2016 0:00,0.461421153,0.231228803,0.640101027,0.301320132,0.333112842,0.51507106,0.642841059,0.805840279,0.478254221,0.62926662,0.493842731,0.590159738
2/1/2016 0:00,0.476980064,0.254683016,0.683604336,0.31149615,0.324442263,0.500333828,0.719999242,0.883058599,0.516939983,0.633991595,0.53095027,0.639872418
3/1/2016 0:00,0.513764725,0.309763042,0.696039321,0.316350983,0.340456952,0.442035339,0.761235182,0.914045514,0.540360686,0.71524976,0.540704461,0.674827367
4/1/2016 0:00,0.499714108,0.33402035,0.670644138,0.318261826,0.347132193,0.410590646,0.785362863,0.91285126,0.556255861,0.722082232,0.572040547,0.681483918
5/1/2016 0:00,0.485969619,0.306186704,0.662707211,0.318811881,0.339419775,0.414614243,0.788010969,0.923359565,0.575722056,0.72290111,0.590948628,0.680808002
6/1/2016 0:00,0.483425259,0.28676209,0.663094358,0.451912691,0.349067279,0.404032911,0.854252767,0.937894067,0.55000543,0.69600842,0.605253318,0.702832318
7/1/2016 0:00,0.508477107,0.313983825,0.710331287,0.451815182,0.401241742,0.385311573,0.918605291,0.984662057,0.612083373,0.818908788,0.702151113,0.752017212
8/1/2016 0:00,0.495162924,0.333488356,0.711117002,0.390429043,0.403117159,0.385530899,0.958314132,0.983631224,0.625123658,0.877287049,0.684308394,0.762088073
9/1/2016 0:00,0.490092066,0.315899011,0.754023686,0.400247525,0.398463035,0.366928077,0.96670171,0.974959787,0.585631212,0.860966759,0.677605446,0.758546727
10/1/2016 0:00,0.494092948,0.322984607,0.783773943,0.406105611,0.401119798,0.315493853,0.976216092,0.930288569,0.535623793,0.814176006,0.619079002,0.746925037
11/1/2016 0:00,0.565959385,0.406173659,0.844204237,0.397464746,0.435101337,0.274975272,1.084691421,0.906971493,0.532804457,0.881645595,0.607594056,0.795777135
12/1/2016 0:00,0.591706729,0.435186064,0.849967444,0.392739274,0.426779115,0.291295747,1.127483349,0.84555106,0.51265955,0.882140296,0.57432715,0.796186877
