Campaign,Ad Group,Final URL,Description,Headline 1,Headline 2
SEM_Instructors,Frank Sumanski,https://www.datacamp.com/instructors/franksumanski,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Frank Sumanski,Tackle Complex Questions
SEM_Instructors,kaelen medeiros,https://www.datacamp.com/instructors/kaelenmedeiros,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,kaelen medeiros,Boost Your Data Science Career
SEM_Instructors,kaelen medeiros,https://www.datacamp.com/instructors/kaelenmedeiros,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",kaelen medeiros,Stand Out From the Crowd
SEM_Instructors,kaelen medeiros,https://www.datacamp.com/instructors/kaelenmedeiros,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,kaelen medeiros,Tackle Complex Questions
SEM_Instructors,Benjamin Wilson,https://www.datacamp.com/instructors/benjaminb4cfa5bfcd354d99b4d0cee5fc44a6e9,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Benjamin Wilson,Boost Your Data Science Career
SEM_Instructors,Benjamin Wilson,https://www.datacamp.com/instructors/benjaminb4cfa5bfcd354d99b4d0cee5fc44a6e9,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Benjamin Wilson,Stand Out From the Crowd
SEM_Instructors,Benjamin Wilson,https://www.datacamp.com/instructors/benjaminb4cfa5bfcd354d99b4d0cee5fc44a6e9,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Benjamin Wilson,Tackle Complex Questions
SEM_Instructors,Jason Myers,https://www.datacamp.com/instructors/jasonamyers,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Jason Myers,Boost Your Data Science Career
SEM_Instructors,Jason Myers,https://www.datacamp.com/instructors/jasonamyers,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Jason Myers,Stand Out From the Crowd
SEM_Instructors,Jason Myers,https://www.datacamp.com/instructors/jasonamyers,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Jason Myers,Tackle Complex Questions
SEM_Instructors,Ramnath Vaidyanathan,https://www.datacamp.com/instructors/ramnath,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Ramnath Vaidyanathan,Boost Your Data Science Career
SEM_Instructors,Ramnath Vaidyanathan,https://www.datacamp.com/instructors/ramnath,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Ramnath Vaidyanathan,Stand Out From the Crowd
SEM_Instructors,Ramnath Vaidyanathan,https://www.datacamp.com/instructors/ramnath,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Ramnath Vaidyanathan,Tackle Complex Questions
SEM_Instructors,Nick Solomon,https://www.datacamp.com/instructors/nicksolomon10,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Nick Solomon,Boost Your Data Science Career
SEM_Instructors,Nick Solomon,https://www.datacamp.com/instructors/nicksolomon10,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Nick Solomon,Stand Out From the Crowd
SEM_Instructors,Nick Solomon,https://www.datacamp.com/instructors/nicksolomon10,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Nick Solomon,Tackle Complex Questions
SEM_Instructors,Bart Baesens,https://www.datacamp.com/instructors/bartbaesens,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Bart Baesens,Boost Your Data Science Career
SEM_Instructors,Bart Baesens,https://www.datacamp.com/instructors/bartbaesens,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Bart Baesens,Stand Out From the Crowd
SEM_Instructors,Bart Baesens,https://www.datacamp.com/instructors/bartbaesens,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Bart Baesens,Tackle Complex Questions
SEM_Instructors,Maria Eugenia Inzaugarat,https://www.datacamp.com/instructors/meugeinzaug,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Maria Eugenia Inzaugarat,Boost Your Data Science Career
SEM_Instructors,Maria Eugenia Inzaugarat,https://www.datacamp.com/instructors/meugeinzaug,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Maria Eugenia Inzaugarat,Stand Out From the Crowd
SEM_Instructors,Maria Eugenia Inzaugarat,https://www.datacamp.com/instructors/meugeinzaug,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Maria Eugenia Inzaugarat,Tackle Complex Questions
SEM_Instructors,Tim Verdonck,https://www.datacamp.com/instructors/timverdonck,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Tim Verdonck,Boost Your Data Science Career
SEM_Instructors,Tim Verdonck,https://www.datacamp.com/instructors/timverdonck,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Tim Verdonck,Stand Out From the Crowd
SEM_Instructors,Tim Verdonck,https://www.datacamp.com/instructors/timverdonck,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Tim Verdonck,Tackle Complex Questions
SEM_Instructors,Elie Kawerk,https://www.datacamp.com/instructors/eliekawerk,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Elie Kawerk,Boost Your Data Science Career
SEM_Instructors,Elie Kawerk,https://www.datacamp.com/instructors/eliekawerk,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Elie Kawerk,Stand Out From the Crowd
SEM_Instructors,Elie Kawerk,https://www.datacamp.com/instructors/eliekawerk,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Elie Kawerk,Tackle Complex Questions
SEM_Instructors,Irene Ortner,https://www.datacamp.com/instructors/irenehoffmann,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Irene Ortner,Boost Your Data Science Career
SEM_Instructors,Irene Ortner,https://www.datacamp.com/instructors/irenehoffmann,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Irene Ortner,Stand Out From the Crowd
SEM_Instructors,Irene Ortner,https://www.datacamp.com/instructors/irenehoffmann,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Irene Ortner,Tackle Complex Questions
SEM_Instructors,Mike Metzger,https://www.datacamp.com/instructors/mike-metzger,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Mike Metzger,Boost Your Data Science Career
SEM_Instructors,Mike Metzger,https://www.datacamp.com/instructors/mike-metzger,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Mike Metzger,Stand Out From the Crowd
SEM_Instructors,Mike Metzger,https://www.datacamp.com/instructors/mike-metzger,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Mike Metzger,Tackle Complex Questions
SEM_Instructors,Katharine Jarmul,https://www.datacamp.com/instructors/katharinecc6b90c27e1b40129c2745c9215cc689,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Katharine Jarmul,Boost Your Data Science Career
SEM_Instructors,Katharine Jarmul,https://www.datacamp.com/instructors/katharinecc6b90c27e1b40129c2745c9215cc689,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Katharine Jarmul,Stand Out From the Crowd
SEM_Instructors,Katharine Jarmul,https://www.datacamp.com/instructors/katharinecc6b90c27e1b40129c2745c9215cc689,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Katharine Jarmul,Tackle Complex Questions
SEM_Instructors,Iason Prassides,https://www.datacamp.com/instructors/iasonprassides,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Iason Prassides,Boost Your Data Science Career
SEM_Instructors,Iason Prassides,https://www.datacamp.com/instructors/iasonprassides,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Iason Prassides,Stand Out From the Crowd
SEM_Instructors,Iason Prassides,https://www.datacamp.com/instructors/iasonprassides,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Iason Prassides,Tackle Complex Questions
SEM_Instructors,Dan Becker,https://www.datacamp.com/instructors/dansbecker,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Dan Becker,Boost Your Data Science Career
SEM_Instructors,Dan Becker,https://www.datacamp.com/instructors/dansbecker,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Dan Becker,Stand Out From the Crowd
SEM_Instructors,Dan Becker,https://www.datacamp.com/instructors/dansbecker,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Dan Becker,Tackle Complex Questions
SEM_Instructors,Amy Peterson,https://www.datacamp.com/instructors/amy-4121b590-cc52-442a-9779-03eb58089e08,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Amy Peterson,Boost Your Data Science Career
SEM_Instructors,Amy Peterson,https://www.datacamp.com/instructors/amy-4121b590-cc52-442a-9779-03eb58089e08,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Amy Peterson,Stand Out From the Crowd
SEM_Instructors,Amy Peterson,https://www.datacamp.com/instructors/amy-4121b590-cc52-442a-9779-03eb58089e08,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Amy Peterson,Tackle Complex Questions
SEM_Instructors,Max Shron,https://www.datacamp.com/instructors/max-9930ef89-b611-4bd4-a550-7491c9e2b633,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Max Shron,Boost Your Data Science Career
